"Record ID","First Name","Last Name","Annual Revenue","Average Pageviews","Became a Customer Date","Became a Lead Date","Became a Marketing Qualified Lead Date","Became a Sales Qualified Lead Date","Became a Subscriber Date","Became an Evangelist Date","Became an Opportunity Date","Became an Other Lifecycle Date","Buying Role","Buying Role Option","Campaign of last booking in meetings tool","City","Close Date","Company domain name","Company Name","Company size","Contact owner","Contact priority","Contact unworked","Country/Region","Create Date","Created by user ID","Currently in Sequence","Currently in workflow","Date of birth","Date of last meeting booked in meetings tool","Days To Close","Degree","Domain name","Domain to which registration email was sent","Email","Email address automated quarantine reason","Email address quarantine reason","Email Address Quarantined","Email Confirmed","Email Domain","Email hard bounce reason","Event Revenue","Facebook click id","Fax Number","Field of study","First Conversion","First Conversion Date","First Deal Created Date","First marketing email click date","First marketing email open date","First marketing email reply date","First marketing email send date","First Page Seen","First Referring Site","First Touch Converting Campaign","Gender","Google ad click id","Graduation date","HubSpot Score","HubSpot Team","höbbela","Industry","Invalid email address","IP City","IP Country","IP Country Code","IP State Code/Region Code","IP State/Region","IP Timezone","Job function","Job Title","Last Activity Date","Last Contacted","Last Engagement Date","Last marketing email click date","Last marketing email name","Last marketing email open date","Last marketing email reply date","Last marketing email send date","Last Modified Date","Last NPS survey comment","Last NPS survey date","Last NPS survey rating","Last Page Seen","Last Referring Site","Last sequence ended date","Last sequence enrolled","Last sequence enrolled date","Last Touch Converting Campaign","Latest Source","Latest Source Date","Latest Source Drill-Down 1","Latest Source Drill-Down 2","Lead Rating","Lead Status","Legal basis for processing contact's data","Lifecycle Stage","Likelihood to close","Marital Status","Marketing contact until next update","Marketing email confirmation status","Marketing emails bounced","Marketing emails clicked","Marketing emails delivered","Marketing emails opened","Marketing emails replied","Medium of last booking in meetings tool","Membership Notes","Message","Military status","Mobile Phone Number","Next Activity Date","Number of Associated Deals","Number of Employees","Number of event completions","Number of Form Submissions","Number of Pageviews","Number of Sales Activities","Number of sequences enrolled","Number of Sessions","Number of times contacted","Number of Unique Forms Submitted","Object create date/time","Opted out of email: Customer Service Communication","Original Source","Original Source Drill-Down 1","Original Source Drill-Down 2","Owner Assigned Date","Persona","Phone Number","Postal Code","Predictive Lead Score","Preferred language","Private e-mail address","Recent Conversion","Recent Conversion Date","Recent Deal Amount","Recent Deal Close Date","Recent Sales Email Clicked Date","Recent Sales Email Opened Date","Recent Sales Email Replied Date","Registered At","Relationship Status","Salutation","School","Sends Since Last Engagement","Seniority","Source of last booking in meetings tool","Start date","State/Region","Status","Street Address","Time between contact creation and deal close (HH:mm:ss)","Time between contact creation and deal creation (HH:mm:ss)","Time First Seen","Time Last Seen","Time of First Session","Time of Last Session","Time registration email was sent","Time to move from lead to customer (HH:mm:ss)","Time to move from marketing qualified lead to customer (HH:mm:ss)","Time to move from opportunity to customer (HH:mm:ss)","Time to move from sales qualified lead to customer (HH:mm:ss)","Time to move from subscriber to customer (HH:mm:ss)","Time Zone","Total Revenue","Twitter Username","Unsubscribed from all email","Website URL","WhatsApp Phone Number","Work email","Associated Company","Associated Deal","Associated Ticket","Associated Payment","Associated Subscription","Associated Company IDs","Associated Deal IDs","Associated Ticket IDs","Associated Payment IDs","Associated Subscription IDs"
"1901","Bryan","Cooper","","0.0","","2023-02-14 15:53","","","","","","","","","","","","","Biglytics","","","Low","true","","2023-02-14 15:53","","","","","","","","","","bcooper@biglytics.net","","","","","biglytics.net","Other","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023-02-14 15:54","","","","","","","","","","Offline Sources","2023-02-14","INTEGRATION","1440038","","","","Lead","1.96",""," --","","","","","","","","","","","","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","INTEGRATION","1440038","","","(877) 929-0687","","","","","","","","","","","","","","","","","","","","","","","","","2023-02-14 15:53","","","","","","","","","","","","","","http://biglytics.net","","","","","","","","","","","",""
"1354","Aila","McPharlain","","0.0","","","","","","","","","","End User","","","","brainsphere.com","Brainsphere","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","brainsphere.com","","aila.mcpharlain@brainsphere.com","","","","","brainsphere.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Automation Specialist II","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","2.96",""," --","","","","","","","","","","","","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","590-464-1518","","","","aila.mcpharlain@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","aila.mcpharlain@brainsphere.com","","","","","","","","","",""
"563","Dill","Kellert","","0.0","","","","","","","","","","Influencer","","","","myworks.com","Myworks","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","myworks.com","","dill.kellert@myworks.com","","","","","myworks.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Administrative Officer","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","2.96",""," --","","","","","","","","","","","","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","240-904-3257","","","","dill.kellert@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","dill.kellert@myworks.com","","","","","","","","","",""
"112","Saundra","Bromidge","","0.0","","","","","","","","","Budget Holder","Budget Holder","","","","devcast.com","Devcast","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","devcast.com","","saundra.bromidge@devcast.com","","","","","devcast.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nuclear Power Engineer","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","3.51",""," --","","","","","","","","","","","","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","559-627-6553","","","","saundra.bromidge@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","saundra.bromidge@devcast.com","","","","","","","","","",""
"1514","Danita","Allcock","","0.0","","","","","","","","","","End User","","","","quinu.com","Quinu","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","quinu.com","","danita.allcock@quinu.com","","","","","quinu.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chief Design Engineer","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","4.02",""," --","","","","","","","","","","","163-830-9235","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","966-939-3234","","","","danita.allcock@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","danita.allcock@quinu.com","","","","","","","","","",""
"560","Aldric","Canavan","","0.0","","","","","","","","","Other","Other","","","","latz.com","Latz","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","latz.com","","aldric.canavan@latz.com","","","","","latz.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Executive Secretary","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","2.96",""," --","","","","","","","","","","","","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","344-711-3888","","","","aldric.canavan@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","aldric.canavan@latz.com","","","","","","","","","",""
"362","Danny","Gorry","","0.0","","","","","","","","","","Champion","","","","yakidoo.com","Yakidoo","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","yakidoo.com","","danny.gorry@yakidoo.com","","","","","yakidoo.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Speech Pathologist","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","4.08",""," --","","","","","","","","","","","614-589-9965","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","911-234-3098","","","","danny.gorry@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","danny.gorry@yakidoo.com","","","","","","","","","",""
"211","Mignonne","Sleford","","0.0","","","","","","","","","Other","Other","","","","topdrive.com","Topdrive","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","topdrive.com","","mignonne.sleford@topdrive.com","","","","","topdrive.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Quality Engineer","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","2.96",""," --","","","","","","","","","","","","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","788-277-5583","","","","mignonne.sleford@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","mignonne.sleford@topdrive.com","","","","","","","","","",""
"709","Tybie","Francey","","0.0","","","","","","","","","Blocker","Blocker","","","","jumpxs.com","JumpXS","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","jumpxs.com","","tybie.francey@jumpxs.com","","","","","jumpxs.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Statistician II","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","3.51",""," --","","","","","","","","","","","293-459-6172","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","","","","","tybie.francey@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","tybie.francey@jumpxs.com","","","","","","","","","",""
"1321","Fallon","Langforth","","0.0","","","","","","","","","","Budget Holder","","","","oba.com","Oba","","David Nachmann","","true","","2022-08-12 11:20","David Nachmann","","","","","","","oba.com","","fallon.langforth@oba.com","","","","","oba.com","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mechanical Systems Engineer","","","","","","","","","2022-08-12 11:21","","","","","","","","","","Offline Sources","2022-08-12","IMPORT","27699795","","","","","4.02",""," --","","","","","","","","","","","656-412-7031","","","","0.0","0.0","0.0","","","0.0","","0.0","","","Offline Sources","IMPORT","27699795","2022-08-12 11:20","","308-637-2699","","","","fallon.langforth@gmail.com","","","","","","","","","","","","","","","","","","","","","2022-08-12 11:20","","","","","","","","","","","","","","","","fallon.langforth@oba.com","","","","","","","","","",""
