name,age,phone,email,purchase_frequency
Kivilä Becker,45,078--246711  ,kivilä.becker@distansakademin.se,medium
Charlie Rasmus,invalid_mail,079--597107  ,charlie.rasmus@distansakademin.se,medium
Alice Smith,invalid_mail,073--553280  ,alice.smith@distansakademin.se,high
Rafael Becker,invalid_age,076--778557  ,rafael.becker@distansakademin.se,medium
Alice Jackson,42,079--138676  ,alice.jackson@distansakademin.se,medium
Bob Smith,invalid_mail,071--833278  ,bob.smith@distansakademin.se,low
Bob Smith,48,078--300200  ,bob.smith@distansakademin.se,medium
Rafael Becker,55,079--213093  ,rafael.becker@distansakademin.se,medium
Kivilä Smith,55,072--348814  ,kivilä.smith@distansakademin.se,medium
Charlie Jackson,58,075--812740  ,charlie.jackson@distansakademin.se,high
Charlie Rasmus,48,075--578991  ,charlie.rasmus@distansakademin.se,high
Charlie Becker,23,078--160609  ,charlie.becker@distansakademin.se,low
Charlie Larsson,33,076--828886  ,charlie.larsson@distansakademin.se,medium
Bob Larsson,30,079--781787  ,bob.larsson@distansakademin.se,low
Bob Jackson,invalid_age,078--317470  ,bob.jackson@distansakademin.se,high
Charlie Rasmus,invalid_age,079--313495  ,charlie.rasmus@distansakademin.se,medium
Alice Larsson,23,077--953083  ,alice.larsson@distansakademin.se,low
Alice Rasmus,23,074--172546  ,alice.rasmus@distansakademin.se,medium
Bob Smith,42,079--374666  ,bob.smith@distansakademin.se,high
Alice Jackson,invalid_mail,074--997783  ,alice.jackson@distansakademin.se,low
Rafael Smith,invalid_age,078--490092  ,rafael.smith@distansakademin.se,high
Alice Rasmus,43,072--997258  ,alice.rasmus@distansakademin.se,low
Kivilä Larsson,50,074--597244  ,kivilä.larsson@distansakademin.se,medium
Kivilä Rasmus,invalid_mail,072--289115  ,kivilä.rasmus@distansakademin.se,low
Kivilä Larsson,40,077--158450  ,kivilä.larsson@distansakademin.se,low
Rafael Larsson,65,077--518248  ,rafael.larsson@distansakademin.se,medium
Charlie Larsson,23,075--948855  ,charlie.larsson@distansakademin.se,low
Rafael Larsson,51,078--395851  ,rafael.larsson@distansakademin.se,high
Charlie Larsson,52,074--801756  ,charlie.larsson@distansakademin.se,high
Rafael Rasmus,51,079--271241  ,rafael.rasmus@distansakademin.se,low
