name,age,phone,email,purchase_frequency
Charlie Becker,32,076--901931  ,charlie.becker@distansakademin.se,medium
Charlie Jackson,21,078--813144  ,charlie.jackson@distansakademin.se,high
Bob Smith,51,072--651048  ,bob.smith@distansakademin.se,medium
Alice Alexandre,50,079--812809  ,alice.alexandre@distansakademin.se,low
Rafael Larsson,39,074--613776  ,rafael.larsson@distansakademin.se,high
Charlie Alexandre,55,076--875666  ,charlie.alexandre@distansakademin.se,low
Liselle Jackson,30,072--397697  ,liselle.jackson@distansakademin.se,medium
Alice Alexandre,27,077--913048  ,alice.alexandre@distansakademin.se,medium
Bob Alexandre,21,072--540567  ,bob.alexandre@distansakademin.se,medium
Bob Larsson,18,076--173303  ,bob.larsson@distansakademin.se,low
Liselle Alexandre,38,074--910187  ,liselle.alexandre@distansakademin.se,medium
Bob Jackson,54,078--112229  ,bob.jackson@distansakademin.se,medium
Liselle Smith,26,076--529624  ,liselle.smith@distansakademin.se,high
Rafael Jackson,30,074--795072  ,rafael.jackson@distansakademin.se,low
Charlie Jackson,55,076--311409  ,charlie.jackson@distansakademin.se,low
Alice Jackson,24,075--309599  ,alice.jackson@distansakademin.se,low
Alice Becker,35,072--454691  ,alice.becker@distansakademin.se,low
Charlie Smith,57,071--409449  ,charlie.smith@distansakademin.se,medium
Alice Jackson,59,071--507531  ,alice.jackson@distansakademin.se,medium
Bob Jackson,46,071--276082  ,bob.jackson@distansakademin.se,low
Alice Smith,61,072--540455  ,alice.smith@distansakademin.se,medium
Rafael Smith,46,073--739442  ,rafael.smith@distansakademin.se,medium
Bob Larsson,38,072--519185  ,bob.larsson@distansakademin.se,high
Rafael Becker,60,075--657534  ,rafael.becker@distansakademin.se,high
Liselle Larsson,54,076--450422  ,liselle.larsson@distansakademin.se,medium
Charlie Smith,39,075--907007  ,charlie.smith@distansakademin.se,medium
Rafael Jackson,63,079--808662  ,rafael.jackson@distansakademin.se,high
Charlie Becker,22,073--620656  ,charlie.becker@distansakademin.se,high
Rafael Smith,20,073--788243  ,rafael.smith@distansakademin.se,high
Liselle Larsson,23,072--624277  ,liselle.larsson@distansakademin.se,medium
Rafael Jackson,20,078--409071  ,rafael.jackson@distansakademin.se,low
Liselle Alexandre,22,075--850591  ,liselle.alexandre@distansakademin.se,high
Charlie Larsson,24,079--953161  ,charlie.larsson@distansakademin.se,high
Alice Becker,52,072--219639  ,alice.becker@distansakademin.se,medium
Liselle Larsson,53,079--235096  ,liselle.larsson@distansakademin.se,low
Bob Becker,32,075--686150  ,bob.becker@distansakademin.se,low
Bob Jackson,48,074--602563  ,bob.jackson@distansakademin.se,medium
Rafael Becker,46,073--120142  ,rafael.becker@distansakademin.se,medium
Rafael Smith,19,078--925464  ,rafael.smith@distansakademin.se,medium
Liselle Becker,51,074--610810  ,liselle.becker@distansakademin.se,low
Charlie Larsson,47,073--656162  ,charlie.larsson@distansakademin.se,high
Liselle Jackson,20,079--363461  ,liselle.jackson@distansakademin.se,low
Bob Smith,40,072--898954  ,bob.smith@distansakademin.se,high
Charlie Larsson,32,076--757494  ,charlie.larsson@distansakademin.se,high
Bob Larsson,58,077--288544  ,bob.larsson@distansakademin.se,medium
Charlie Larsson,40,077--522434  ,charlie.larsson@distansakademin.se,low
Liselle Alexandre,64,074--481445  ,liselle.alexandre@distansakademin.se,low
Liselle Jackson,63,074--263889  ,liselle.jackson@distansakademin.se,low
Liselle Smith,53,075--994284  ,liselle.smith@distansakademin.se,high
Alice Becker,28,073--717361  ,alice.becker@distansakademin.se,low
Liselle Smith,50,073--616586  ,liselle.smith@distansakademin.se,medium
Liselle Jackson,22,072--869315  ,liselle.jackson@distansakademin.se,medium
Alice Smith,19,074--384525  ,alice.smith@distansakademin.se,high
Bob Alexandre,28,074--267817  ,bob.alexandre@distansakademin.se,medium
Liselle Jackson,52,075--250280  ,liselle.jackson@distansakademin.se,low
Rafael Becker,34,072--783051  ,rafael.becker@distansakademin.se,low
Alice Jackson,51,079--105084  ,alice.jackson@distansakademin.se,high
Charlie Alexandre,64,075--676459  ,charlie.alexandre@distansakademin.se,low
Charlie Smith,36,074--535846  ,charlie.smith@distansakademin.se,high
Rafael Larsson,18,078--763609  ,rafael.larsson@distansakademin.se,medium
Alice Jackson,26,076--256790  ,alice.jackson@distansakademin.se,medium
Rafael Alexandre,33,075--612757  ,rafael.alexandre@distansakademin.se,high
Rafael Larsson,18,072--245529  ,rafael.larsson@distansakademin.se,medium
Bob Smith,27,075--938649  ,bob.smith@distansakademin.se,low
Alice Jackson,36,077--986998  ,alice.jackson@distansakademin.se,medium
Rafael Jackson,55,074--920763  ,rafael.jackson@distansakademin.se,high
Bob Alexandre,30,072--629831  ,bob.alexandre@distansakademin.se,low
Rafael Larsson,42,079--803857  ,rafael.larsson@distansakademin.se,low
Alice Jackson,25,079--362009  ,alice.jackson@distansakademin.se,high
Alice Becker,26,075--826477  ,alice.becker@distansakademin.se,low
Rafael Becker,59,078--783750  ,rafael.becker@distansakademin.se,medium
Bob Alexandre,43,071--929418  ,bob.alexandre@distansakademin.se,high
Alice Alexandre,56,078--196406  ,alice.alexandre@distansakademin.se,high
Liselle Alexandre,27,077--249700  ,liselle.alexandre@distansakademin.se,low
Alice Becker,35,077--473943  ,alice.becker@distansakademin.se,high
Liselle Larsson,31,076--943620  ,liselle.larsson@distansakademin.se,medium
Bob Larsson,32,076--499077  ,bob.larsson@distansakademin.se,medium
Charlie Jackson,34,075--115961  ,charlie.jackson@distansakademin.se,low
Charlie Larsson,54,074--870962  ,charlie.larsson@distansakademin.se,low
Alice Becker,52,076--351529  ,alice.becker@distansakademin.se,low
Charlie Larsson,23,072--839238  ,charlie.larsson@distansakademin.se,high
Alice Larsson,48,072--278620  ,alice.larsson@distansakademin.se,low
Charlie Alexandre,33,076--204342  ,charlie.alexandre@distansakademin.se,low
Liselle Alexandre,23,078--856748  ,liselle.alexandre@distansakademin.se,high
Liselle Becker,50,075--899026  ,liselle.becker@distansakademin.se,low
Liselle Smith,33,074--241621  ,liselle.smith@distansakademin.se,medium
Bob Smith,32,079--689334  ,bob.smith@distansakademin.se,low
Charlie Smith,19,079--997215  ,charlie.smith@distansakademin.se,high
Charlie Smith,29,076--844970  ,charlie.smith@distansakademin.se,medium
Rafael Becker,28,071--985474  ,rafael.becker@distansakademin.se,medium
Bob Jackson,58,077--713573  ,bob.jackson@distansakademin.se,medium
Charlie Smith,31,076--243248  ,charlie.smith@distansakademin.se,low
Bob Larsson,18,071--616439  ,bob.larsson@distansakademin.se,high
Alice Larsson,28,071--611052  ,alice.larsson@distansakademin.se,low
Alice Jackson,64,072--557100  ,alice.jackson@distansakademin.se,low
Liselle Smith,48,077--502338  ,liselle.smith@distansakademin.se,low
Charlie Becker,40,071--907466  ,charlie.becker@distansakademin.se,medium
Liselle Jackson,24,076--730087  ,liselle.jackson@distansakademin.se,medium
Liselle Jackson,33,079--570972  ,liselle.jackson@distansakademin.se,medium
Liselle Alexandre,28,077--133883  ,liselle.alexandre@distansakademin.se,low
